subject,datestamp,timestamp,version,moral1,moral2,moral3,id
test_m3r5,2014-09-06,12:02:35,la_moral_3p_random,4,4,4,318
test_m3r5,2014-09-07,13:04:56,la_moral_3p_random,3,2,3,319
test_adam5_m3r5,2014-09-07,13:17:33,la_moral_3p_random,5,3,2,320
AZFMP1J0ZLX7J_m3r5,2014-09-08,10:32:13,la_moral_3p_random,5,5,5,321
A22051NK9RQ4FV_m3r5,2014-09-08,11:24:18,la_moral_3p_random,3,5,5,322
A1WLTQBWNBME3F_m3r5,2014-09-08,11:25:44,la_moral_3p_random,3,4,4,323
A27Z95LLMJ3UOM_m3r5,2014-09-08,12:06:25,la_moral_3p_random,1,2,3,324
A3267FRR3ER30C_m3r5,2014-09-08,12:20:15,la_moral_3p_random,1,4,2,325
A4NUJN9VSJC3W_m3r5,2014-09-08,12:20:51,la_moral_3p_random,4,3,5,326
A33B85TN97HQ33_m3r5,2014-09-08,12:20:59,la_moral_3p_random,4,6,4,327
A39C1BN9ZSQ0R2_m3r5,2014-09-08,12:21:09,la_moral_3p_random,2,3,5,328
A3QIG18VHBXBSZ_m3r5,2014-09-08,12:21:20,la_moral_3p_random,7,7,7,329
AT49Y7HOUVIYU_m3r5,2014-09-08,12:21:21,la_moral_3p_random,3,3,3,330
A31U7VGTEOY2RG_m3r5,2014-09-08,12:21:37,la_moral_3p_random,7,7,7,331
A1FAE7DKA544XV_m3r5,2014-09-08,12:21:52,la_moral_3p_random,1,4,2,332
A2GAN77CVHWV45_m3r5,2014-09-08,12:21:58,la_moral_3p_random,6,7,7,333
A1IJ0ZPL5LSU2L_m3r5,2014-09-08,12:22:18,la_moral_3p_random,2,2,2,334
A1UN7E3PNICY09_m3r5,2014-09-08,12:22:19,la_moral_3p_random,3,3,6,335
A8OE2E20OZYKI_m3r5,2014-09-08,12:22:38,la_moral_3p_random,3,3,4,336
A3G2JDGJCXCWVD_m3r5,2014-09-08,12:23:12,la_moral_3p_random,2,2,4,337
A3ELH98LAETCP9_m3r5,2014-09-08,12:23:14,la_moral_3p_random,2,4,4,338
A2H4875Q9FY71K_m3r5,2014-09-08,12:23:16,la_moral_3p_random,4,4,5,339
A2NI68982FI4SM_m3r5,2014-09-08,12:23:51,la_moral_3p_random,5,7,7,340
A27A4AMQ7QCXKU_m3r5,2014-09-08,12:24:07,la_moral_3p_random,3,3,6,341
AGVAY3FTPAVLQ_m3r5,2014-09-08,12:24:26,la_moral_3p_random,3,4,5,342
A1VO8E1TC7IJFY_m3r5,2014-09-08,12:24:35,la_moral_3p_random,4,3,5,343
A1FW68HLKWGLGW_m3r5,2014-09-08,12:24:35,la_moral_3p_random,4,4,7,344
A2DQ1VB93ZKWF2_m3r5,2014-09-08,12:24:49,la_moral_3p_random,7,7,7,345
A2MK1S9A4N7ZB3_m3r5,2014-09-08,12:25:45,la_moral_3p_random,7,4,4,346
A303KNHZS7LX3NX_m3r5,2014-09-08,12:25:59,la_moral_3p_random,5,7,4,347
A24DZU2LIWZQCG_m3r5,2014-09-08,12:26:18,la_moral_3p_random,3,0,2,348
A1XLALCEEC4XHG_m3r5,2014-09-08,12:27:03,la_moral_3p_random,3,4,4,349
AVRD9XYKPXSY3_m3r5,2014-09-08,12:28:33,la_moral_3p_random,1,2,1,350
A3EZJWGS3Y9DK3_m3r5,2014-09-08,12:28:46,la_moral_3p_random,2,4,4,351
AIU8VYWN7GUK4_m3r5,2014-09-08,12:32:02,la_moral_3p_random,6,7,4,352
AIH06SF8MK6XF_m3r5,2014-09-08,12:35:20,la_moral_3p_random,3,3,3,353
aaezql4j6cqgm_m3r5,2014-09-08,12:36:38,la_moral_3p_random,1,2,1,354
A77431ZTRYE96_m3r5,2014-09-08,12:42:30,la_moral_3p_random,2,2,2,355
AODPVTKUSNBUT_m3r5,2014-09-08,12:48:18,la_moral_3p_random,3,5,5,356
A3CXZCKT34LV8_m3r5,2014-09-08,12:50:44,la_moral_3p_random,3,5,5,357
A3GL39AZ2WUHV6_m3r5,2014-09-08,12:50:48,la_moral_3p_random,7,0,4,358
A1N9I1PJXEL06H_m3r5,2014-09-08,12:54:15,la_moral_3p_random,3,5,3,359
A4GRO4JZRVP14_m3r5,2014-09-08,13:00:03,la_moral_3p_random,4,3,4,360
A36LOA6VLJU157_m3r5,2014-09-08,13:09:07,la_moral_3p_random,2,2,3,361
A142ZRU284W9O_m3r5,2014-09-08,13:16:02,la_moral_3p_random,1,3,1,362
A1T56P6L5730HG_m3r5,2014-09-08,13:23:43,la_moral_3p_random,2,6,6,363
A2FU1WIEOJB669_m3r5,2014-09-08,13:43:27,la_moral_3p_random,3,4,5,364
A4J4GGMKJ68L0_m3r5,2014-09-08,13:45:50,la_moral_3p_random,1,2,3,365
A2E3SM3T01ENIR_m3r5,2014-09-08,14:06:45,la_moral_3p_random,1,2,1,366
A29IC6S1JES2XW_m3r5,2014-09-08,14:16:56,la_moral_3p_random,2,2,1,367
A49HPQ9P5AHU4_m3r5,2014-09-08,14:26:04,la_moral_3p_random,3,2,5,368
A2LXE92OK17WE9_m3r5,2014-09-08,14:49:46,la_moral_3p_random,7,6,4,369
A3N4KC3661ZIH6_m3r5,2014-09-09,10:26:36,la_moral_3p_random,2,2,3,370
A87FX9D14KMZM_m3r5,2014-09-09,10:27:21,la_moral_3p_random,3,3,5,371
A1614EW9OY4IQ0_m3r5,2014-09-09,10:27:45,la_moral_3p_random,1,2,3,372
AWCE4HJPALHPH_m3r5,2014-09-09,10:28:01,la_moral_3p_random,7,7,7,373
" ARNTOT4L28BBP_m3r5",2014-09-09,10:29:03,la_moral_3p_random,1,2,2,374
A3K7CBKBEH9ZNN_m3r5,2014-09-09,10:29:16,la_moral_3p_random,5,3,6,375
A3EG0P2HP829FU_m3r5,2014-09-09,10:29:24,la_moral_3p_random,7,2,6,376
353050_m3r5,2014-09-09,10:29:31,la_moral_3p_random,6,5,4,377
AF18OIZ0GWGP2_m3r5,2014-09-09,10:29:38,la_moral_3p_random,5,5,5,378
A3B96QLXW4J0BL_m3r5,2014-09-09,10:29:50,la_moral_3p_random,7,6,5,379
A2VDLRRPXV3N59_m3r5,2014-09-09,10:29:50,la_moral_3p_random,2,4,7,380
A1W8WP80JTGUFB_m3r5,2014-09-09,10:29:53,la_moral_3p_random,3,5,4,381
A80XHXZVOSB8E_m3r5,2014-09-09,10:30:15,la_moral_3p_random,5,6,5,382
A2BH9WN8HDLYMM_m3r5,2014-09-09,10:30:29,la_moral_3p_random,5,7,7,383
A3288S6SY4V4NB_m3r5,2014-09-09,10:30:57,la_moral_3p_random,6,6,4,384
A2WLGVXAVT2XTR_m3r5,2014-09-09,10:31:03,la_moral_3p_random,7,7,7,385
A1TU88CSLO4S3B_m3r5,2014-09-09,10:31:05,la_moral_3p_random,2,5,5,386
A164L54MG5UQAU_m3r5,2014-09-09,10:31:22,la_moral_3p_random,4,4,5,387
A35GF5387FHJLJ_m3r5,2014-09-09,10:31:28,la_moral_3p_random,4,5,7,388
A3C25ULYKB0F42_m3r5,2014-09-09,10:32:12,la_moral_3p_random,2,7,7,389
